CHEESE;BRIE DELUXE;5.9; Broodje met brie, sla, walnut en honing
CHEESE;BRIE;4.6;Broodje met brie en honing
MEAT;HAM;3.95; Broodje met ham en boter
MEAT;HAM-KAAS;4.6; Broodje met ham, kaas en boter
MEAT;GEZOND HAM;4.95; Broodje met ham, sla, tomaat en ei
MEAT;FILET AMERICAIN;5.4; Broodje met filet americain van rundsvlees met rauwe uitjes
MEAT;MARTINO AMERICAIN;6.25; Broodje met filet americain, martinosaus, rauwe uitjes en augurk
FISH;ZALM & MAYONAISE;3.35; Broodje met gerookte zalm en Belgische mayonaise
FISH;SCAMPI & MAYONAISE;3.35; Broodje met scampis en Belgische mayonaise
FISH;KRABSALADE;6.4;Broodje met een rijkelijke salade van mooie stukjes surimi en fijngesneden eieren
FISH;TONIJNSALADE;5.75;Broodje met heerlijke tonijnsalade
FISH;TONIJNTINO;6.9;Broodje met tonijnsalade, martinosaus, augurk en rauwe uitjes
FISH;ZOMERSE TONIJNSALADE;8.05; Broodje met tonijnsalade, Parmezaanse kaas, zongedroogde tomaten en rucola
CHICKEN;KIP HAWAII;5.4;Broodje met gerafelde kip, ananas en cocktailsaus
CHICKEN;KIP-KERRIESALADE;5.2;Broodje met een traditionele kip-kerriesalade met veel kippenvlees
SPECIAL;EIERSALADE SPECIAAL;7.2;Broodje met eiersalade, ijsbergsla en verkruimelde spekjes
SPECIAL;VIKING CHOCOBUIKJES;5.5;Zacht desembrood met Nutella en schuddebuikjes
SPECIAL;BOERENSMOSKE;6.4;Broodje met uitgebakken spek, sla, tomaat, ei en hannibalsaus
SPECIAL;SMOSKE OUDE KAAS;6.9;Broodje met oude kaas, sla, tomaat, ei en Belgisch mayonaise
SPECIAL;SMOSKE KIP HAWAII;7.2;Broodje met gerafelde kip, ananas, sla, tomaat, ei en cocktailsaus
