CHEESE;JONGE KAAS;3.40 ; Broodje met jonge kaas en boter
CHEESE;OUDE KAAS;5.25 ; Broodje met oude kaas en boter
CHEESE;GEZOND KAAS;4.45 ; Broodje met kaas, sla, tomaat en ei
CHEESE;BRIE DELUXE;5.90 ; Broodje met brie, sla, walnut en honing
CHEESE;BRIE;4.60 ;Broodje met brie en honing
MEAT;HAM;3.95 ; Broodje met ham en boter
MEAT;HAM-KAAS;4.60 ; Broodje met ham, kaas en boter
MEAT;GEZOND HAM;4.95 ; Broodje met ham, sla, tomaat en ei
MEAT;FILET AMERICAIN;5.40 ; Broodje met filet americain van rundsvlees met rauwe uitjes
MEAT;MARTINO AMERICAIN;6.25; Broodje met filet americain, martinosaus, rauwe uitjes en augurk
FISH;ZALM & MAYONAISE;3.35 ; Broodje met gerookte zalm en Belgische mayonaise
FISH;SCAMPI & MAYONAISE;3.35 ; Broodje met scampis en Belgische mayonaise
FISH;KRABSALADE;6.40 ;Broodje met een rijkelijke salade van mooie stukjes surimi en fijngesneden eieren
FISH;TONIJNSALADE;5.75;Broodje met heerlijke tonijnsalade
FISH;TONIJNTINO;6.90;Broodje met tonijnsalade, martinosaus, augurk en rauwe uitjes
FISH;ZOMERSE TONIJNSALADE;8.05; Broodje met tonijnsalade, Parmezaanse kaas, zongedroogde tomaten en rucola
CHICKEN;KIP HAWAII;5.40;Broodje met gerafelde kip, ananas en cocktailsaus
CHICKEN;KIP-KERRIESALADE;5.20 ;Broodje met een traditionele kip-kerriesalade met veel kippenvlees
SPECIAL;EIERSALADE SPECIAAL;7.20 ;Broodje met eiersalade, ijsbergsla en verkruimelde spekjes
SPECIAL;VIKING CHOCOBUIKJES;5.50;Zacht desembrood met Nutella en schuddebuikjes
SPECIAL;BOERENSMOSKE;6.40 ;Broodje met uitgebakken spek, sla, tomaat, ei en hannibalsaus
SPECIAL;SMOSKE OUDE KAAS;6.90 ;Broodje met oude kaas, sla, tomaat, ei en Belgisch mayonaise
SPECIAL;SMOSKE KIP HAWAII;7.20 ;Broodje met gerafelde kip, ananas, sla, tomaat, ei en cocktailsaus
